,items,support,ordered_statistics
0,"frozenset({'chicken', 'light cream'})",0.004532728969470737,"[OrderedStatistic(items_base=frozenset({'light cream'}), items_add=frozenset({'chicken'}), confidence=0.29059829059829057, lift=4.84395061728395)]"
1,"frozenset({'escalope', 'mushroom cream sauce'})",0.005732568990801226,"[OrderedStatistic(items_base=frozenset({'mushroom cream sauce'}), items_add=frozenset({'escalope'}), confidence=0.3006993006993007, lift=3.790832696715049)]"
2,"frozenset({'pasta', 'escalope'})",0.005865884548726837,"[OrderedStatistic(items_base=frozenset({'pasta'}), items_add=frozenset({'escalope'}), confidence=0.3728813559322034, lift=4.700811850163794)]"
3,"frozenset({'honey', 'fromage blanc'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'fromage blanc'}), items_add=frozenset({'honey'}), confidence=0.2450980392156863, lift=5.164270764485569)]"
4,"frozenset({'ground beef', 'herb & pepper'})",0.015997866951073192,"[OrderedStatistic(items_base=frozenset({'herb & pepper'}), items_add=frozenset({'ground beef'}), confidence=0.3234501347708895, lift=3.2919938411349285)]"
5,"frozenset({'ground beef', 'tomato sauce'})",0.005332622317024397,"[OrderedStatistic(items_base=frozenset({'tomato sauce'}), items_add=frozenset({'ground beef'}), confidence=0.3773584905660377, lift=3.840659481324083)]"
6,"frozenset({'olive oil', 'light cream'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'light cream'}), items_add=frozenset({'olive oil'}), confidence=0.20512820512820515, lift=3.1147098515519573)]"
7,"frozenset({'whole wheat pasta', 'olive oil'})",0.007998933475536596,"[OrderedStatistic(items_base=frozenset({'whole wheat pasta'}), items_add=frozenset({'olive oil'}), confidence=0.2714932126696833, lift=4.122410097642296)]"
8,"frozenset({'pasta', 'shrimp'})",0.005065991201173177,"[OrderedStatistic(items_base=frozenset({'pasta'}), items_add=frozenset({'shrimp'}), confidence=0.3220338983050847, lift=4.506672147735896)]"
9,"frozenset({'milk', 'avocado', 'spaghetti'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'avocado'}), items_add=frozenset({'milk'}), confidence=0.41666666666666663, lift=3.215449245541838)]"
